mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__max_depth,param_classifier__min_samples_leaf,param_classifier__min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.03385074933369955,0.005971083376452841,0.008532285690307617,0.0009397662601645189,7,4,10,"{'classifier__max_depth': 7, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 10}",0.288,0.41379310344827586,0.4424778761061947,0.3814236598514902,0.06709043255509352,13
0.03672957420349121,0.0020010610489664686,0.008846680323282877,0.0002372915598287974,,1,2,"{'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 2}",0.32116788321167883,0.45390070921985815,0.3230769230769231,0.36604850516948667,0.06212577793306549,17
0.03509791692097982,0.0026278379004117873,0.008695284525553385,0.00024092409436660754,,1,5,"{'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 5}",0.2900763358778626,0.46715328467153283,0.3130434782608696,0.35675769960342163,0.07862256380627745,21
0.03308542569478353,0.0016094782289700737,0.008089860280354818,0.0006538431015737387,,1,10,"{'classifier__max_depth': None, 'classifier__min_samples_leaf': 1, 'classifier__min_samples_split': 10}",0.2786885245901639,0.4,0.32786885245901637,0.3355191256830601,0.04981976533351469,33
0.037060181299845375,0.0008335694623899721,0.007943948109944662,0.0009755256656646971,,2,2,"{'classifier__max_depth': None, 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 2}",0.3114754098360656,0.4444444444444444,0.32075471698113206,0.3588915237538807,0.060613546694269244,20
0.034833828608194985,0.0015531026952511511,0.007163445154825847,0.0012534401031472251,,2,5,"{'classifier__max_depth': None, 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 5}",0.304,0.416,0.3,0.34,0.0537649204097492,23
0.03858447074890137,0.003505066940849708,0.007973273595174154,0.00036681168246745926,,2,10,"{'classifier__max_depth': None, 'classifier__min_samples_leaf': 2, 'classifier__min_samples_split': 10}",0.25210084033613445,0.39669421487603307,0.32432432432432434,0.32437312651216393,0.05903000805493764,36
0.035458882649739586,0.0029568933329154976,0.0073193709055582685,0.0004657203426001377,,4,2,"{'classifier__max_depth': None, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 2}",0.22807017543859648,0.3939393939393939,0.3620689655172414,0.3280261782984106,0.07186715955027147,34
0.03685267766316732,0.0039600369974389085,0.006181240081787109,0.0007667848664310469,,4,5,"{'classifier__max_depth': None, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 5}",0.22807017543859648,0.3939393939393939,0.3620689655172414,0.3280261782984106,0.07186715955027147,34
0.029756625493367512,0.00247400936642474,0.006131569544474284,0.0003008549836053522,,4,10,"{'classifier__max_depth': None, 'classifier__min_samples_leaf': 4, 'classifier__min_samples_split': 10}",0.2689075630252101,0.3795620437956204,0.40336134453781514,0.3506103171195485,0.058583881167116915,22
